method,arm,label,ckpt,n_clips,ratio_over_chance,ratio_over_chance_ci_lo,ratio_over_chance_ci_hi,rma,rma_ci_lo,rma_ci_hi,pointing_game,pointing_game_ci_lo,pointing_game_ci_hi,iou,iou_ci_lo,iou_ci_hi
bivariate,base,Baseline (Phase 2),checkpoints/videomae_phase2.ckpt,624,1.9525691297374919,1.872621121782109,2.033979779310847,0.03219679329229103,0.029748120177392694,0.034719780399950606,0.29901175213675213,0.26602230235042734,0.3325387286324786,0.10512112222353696,0.10017343612469735,0.11004633231618477
bivariate,ctrl,Kontrolle λ=0,logs/train/runs/2026-08-16_12-37-38/checkpoints/epoch_000-step_002000-val_loss_0.0119.ckpt,624,1.8982012345372006,1.8204965470022416,1.9779757086729874,0.03126920522760731,0.02891652060599884,0.03370189667783098,0.2801816239316239,0.24772970085470084,0.3139690170940171,0.10351766997641824,0.09858987184082085,0.10841747690545345
bivariate,reg,"λ=0,02",logs/train/runs/2026-08-17_00-40-19/checkpoints/epoch_000-step_002000-val_loss_0.0582.ckpt,624,7.910169042416044,7.466018496747089,8.379748355899938,0.0909123256222332,0.08590890388670196,0.09558233031739832,0.7694978632478633,0.7393095619658119,0.7998163728632478,0.13780795118005834,0.13183104140474683,0.1437946008988601
chefer,base,Baseline (Phase 2),checkpoints/videomae_phase2.ckpt,624,1.574009405210232,1.5462303770487156,1.6029587777458834,0.02731222393340115,0.025390451578622176,0.029200246663978524,0.26348824786324787,0.2313000801282051,0.29594684829059825,0.1447843721020284,0.13806811556902623,0.15118076382939324
chefer,ctrl,Kontrolle λ=0,logs/train/runs/2026-08-16_12-37-38/checkpoints/epoch_000-step_002000-val_loss_0.0119.ckpt,624,1.535630769494316,1.509039165911217,1.5631086360844269,0.026742141033957056,0.02487861202014704,0.028614908970333346,0.2214209401709402,0.19149639423076925,0.2512086004273504,0.14234794456395816,0.13565976717200876,0.14854328575969483
chefer,reg,"λ=0,02",logs/train/runs/2026-08-17_00-40-19/checkpoints/epoch_000-step_002000-val_loss_0.0582.ckpt,624,2.3597187515443716,2.292726315056873,2.429223131128929,0.03576042068834013,0.03359149352382798,0.03790328396923933,0.7466613247863249,0.7156750801282052,0.7756410256410257,0.16229796381759293,0.15478874474963053,0.1695377858215968
