arm,lambda,batch,ratio_over_chance,ratio_over_chance_ci_lo,ratio_over_chance_ci_hi,rma,rma_ci_lo,rma_ci_hi,pointing_game,pointing_game_ci_lo,pointing_game_ci_hi,iou,iou_ci_lo,iou_ci_hi,val_loss,val_auc_video
auxhead,,5000,2.112548716310571,2.024159320687346,2.2036159248849474,0.03550099045193361,0.032801425931925504,0.038260794559348506,0.328659188034188,0.2948717948717949,0.36231637286324786,0.10516796882861812,0.10001302653104677,0.11036223876116828,0.1905046999454498,0.9987301826477052
auxhead,,6000,2.1996239726837135,2.109274325911452,2.299942552579694,0.03669983615797168,0.0339491973385723,0.03957925964249508,0.358974358974359,0.3258513621794871,0.3918302617521367,0.10567885431317751,0.10070453431428919,0.11073356372192068,0.2024589926004409,0.9953439235687256
lambda0,0.0,4500,1.8673582471266355,1.788256121047924,1.947410029085536,0.030998613593312258,0.028603544251591954,0.03345720291036186,0.2829861111111111,0.25066105769230773,0.31664329594017093,0.0991789627326234,0.09439566011712412,0.10393753401623786,0.0128770330920815,0.9997884035110474
lambda0,0.0,6000,1.8667756357652128,1.786891738372819,1.9474323334712653,0.030832245695862143,0.028469974682231117,0.033250552919510346,0.2785790598290598,0.24638755341880345,0.3118356036324786,0.09888926947675443,0.09413350491580409,0.10366661300933123,0.0119269303977489,1.0
lambda002,0.02,1500,2.2484634861939097,2.150584394303867,2.3475293454863375,0.03521112309974539,0.032678790514536996,0.03787364612177101,0.3613782051282051,0.327724358974359,0.3963775373931624,0.10450690346767495,0.09973393762297003,0.10937689095833804,0.0172491259872913,0.9997883439064026
lambda002,0.02,3000,3.4099868160103344,3.2390811169468776,3.582897333129912,0.04691528191122403,0.04396023517092783,0.0499406411718831,0.4957264957264958,0.45991920405982906,0.531383547008547,0.113541256872943,0.1084837803941366,0.1186426074199151,0.0312870517373085,0.9977777600288392
lambda002,0.02,4500,5.509161543427433,5.210751693782348,5.832408631818656,0.06740825627019098,0.06355982602162213,0.0712543814075592,0.6330128205128205,0.5970886752136751,0.6666666666666666,0.12282929486350319,0.11759763979215573,0.12812309973578984,0.043397918343544,0.9940741062164308
lambda002,0.02,6000,8.209655806334675,7.729150627065513,8.710702706668446,0.09300011636977977,0.08794471708398247,0.09781978741516348,0.7694978632478633,0.7393095619658119,0.7998163728632478,0.12961861656535448,0.12413841161812733,0.13525230961366522,0.0582138262689113,0.9853967428207396
lambda01,0.1,1500,2.5216102741348245,2.407778182566668,2.6350776718719464,0.038143759304941106,0.03547876847134523,0.04092370186800449,0.40130876068376065,0.3676482371794872,0.43643496260683756,0.10761291034627628,0.10287801935050485,0.11252068619759147,0.018680015578866,0.9991533756256104
lambda01,0.1,3000,4.688861118100234,4.446393904955282,4.946115790599057,0.05956889917759042,0.056118427284949784,0.06312431573763037,0.5993589743589743,0.5642194177350427,0.6331463675213675,0.12019370996386296,0.11499362225962315,0.12531086261049365,0.1643067151308059,0.9887830018997192
lambda01,0.1,4500,8.092289220358635,7.629181392548375,8.588513215799004,0.09219558417312984,0.08720198142346212,0.09708941613846409,0.7585470085470085,0.7266292735042735,0.7894030448717949,0.1309667113104001,0.12539635678549524,0.13669050496356583,0.2254790216684341,0.9628571271896362
lambda01,0.1,6000,11.418190248704587,10.746065962195903,12.11759434090002,0.12427100419591995,0.11777061975524458,0.13031030225423326,0.8104967948717948,0.782051282051282,0.8388120993589743,0.13584247957101647,0.1299987032778688,0.1416974931317292,0.1752460747957229,0.9444444179534912
